iter	Passed	Remaining
0	1	106
1	2	98
2	2	92
3	3	86
4	4	85
5	5	83
6	6	82
7	7	81
8	7	80
9	8	79
10	10	82
11	11	83
12	12	82
13	13	81
14	14	80
15	15	79
16	16	78
17	17	78
18	18	77
19	19	76
20	20	75
21	20	74
22	21	73
23	22	72
24	23	71
25	24	70
26	25	70
27	26	69
28	27	68
29	28	67
30	29	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	59
39	39	58
40	39	57
41	40	55
42	41	54
43	42	53
44	43	52
45	44	51
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	52	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	30
69	67	29
70	68	28
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	92	4
95	93	3
96	93	2
97	95	1
98	96	0
99	96	0
